what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291838609360
started,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1291838612819
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291838613778
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.rename.element",1291838613806
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291838621410
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291838622111
started,bundle,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit",1291838630286
started,bundle,org.eclipse.jdt.junit.core,3.6.0.v20100526-0800,"org.eclipse.jdt.junit.core",1291838630528
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291838630691
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1291838638834
